	transcript	backchannel	start	end	role	folder
19	그래 가지고 그 거기 사례에도 좀 적어놓기는 했는데 집에서 같이 있다가도 이제 흡연을 하다 보니까 혼자 이제 담배 피러 나갔을 때가 훨씬 혼자 더 편하고	2	127.012	139.25	client	1
20	허-	0	139.33	140.565	counselor	1
21	그리고 뭐 가족끼리 집에 있어도 좀 방에 있는 게 편해서 거실에 거의 없거든요.	2	140.373	146.864	client	1
22	네-	0	146.88	147.965	counselor	1
23	그런 것들도 그렇고 여자친구랑도 한 7년 정도 만났는데 같이 있을 때보다 혼자 있을 때가 더 심적으로 편하고 이러다 보니까 오히려 어떤 사회적 동물이라는 관점 하에	1	148.2	164.559	client	1
24	음-	0	158.405	159.47	counselor	1
25	가장 가까운 사람들과 있을 때 되게 좋아야 되는데 오히려 그러지 못해가지고 좀 외롭고 그 무기력함이 좀 나오는 것 같아요.	2	164.8	174.085	client	1
26	정말로 좋은 대상들, 친밀한 대상들이어야 하는데 그럼에도 불구하고 불편감이 느껴지고 오히려 나 혼자였을 때가 또 우진님은 좀 편안함을 느끼고 계시네요.	1	175.32	186.995	counselor	1
27	네 그러다 보니까 좀 거짓말들도 많아지는 것 같아요. 부모님한테 거짓말하는 거, 저한테 거짓말하는 거, 좀 그런 식으로 이미 이기적으로 행동하는 것들도 있는데 아무래도 거짓말이 되게 유쾌하진 않잖아요.	2	186.776	199.64	client	1
28	그렇죠.	0	199.675	200.537	counselor	1
29	그러다 보니까 그런 것들도 좀 스스로 다시 매너리즘에 빠지는 것 같아요.	2	200.734	206.916	client	1
30	그러셨구나. 내가 거짓말을 하고 또 부모님한테 유쾌하지도 않은 거짓말을 하는 그러면서 자꾸 매너리즘에 빠지는 이게 좀 반복이 되면은 어 조금 어려우시죠. 네.	0	207.711	223.396	counselor	1
31	네	0	225.0	225.5	client	1
32	어떤 상황에서 이제 부모님하고 어떤 상황, 이제 예를 들어서 여자친구하고 어떤 상황에서 같이 있으면 좋기도 한데 어떤 불편감이 나한테 느껴졌다.	1	232.46	243.442	counselor	1
33	네	0	233.627	234.012	client	1
34	이런 좀 구체적으로 이야기를 나누시면 그때 우리 우진님의 감정이라든가 생각이라든가 그것을 조금 더 명료하게 보실 수가 있으세요. 네	1	243.445	253.644	counselor	1
35	알겠습니다.	0	255.313	256.355	client	1
36	어떤 상황에 좀 불편감이 크셨던 상황을 좀 떠올려 보시면 좋을 것 같아요.	2	258.12	263.37	counselor	1
37	이제 뭐 아무래도 어떤 가치관적인 부분에서 충돌이 좀 있다 보니까 그럴 때마다 제가 선택한 방법인 것 같아요. 그 충돌을 뭔가 대화나 어쨌든 말하면서 싸우기도 하고 이런 식으로 가야 되는데 최대한 피하고	1	266.326	287.391	client	1
38	음-	0	287.42	288.2	counselor	1
39	그러셨구나. 우진님은 어떠한 상황에서 내 생각이라든가 감정을 조금 감추고 어 원래 마음과 그냥 표면적으로 말씀하시는 거하고 좀 상반된 이게 표현을 하신 거네요.	1	301.65	317.23	counselor	1
40	네. 그랬던 것 같아요.	0	317.166	318.854	client	1
41	네 나는 아닌데 그냥 알았다고 이렇게 하시면서 이제 그 상황을 회피하려고 하시는 그런 게 나한테 주로 많이 있으신가요?	1	318.35	328.27	counselor	1
42	네. 그랬던 것 같아요. 그리고 뭔가 깊게 대화하려고 해도 어쨌든 벽이 좀 느껴지니까 가치관이 다르다라고 하면은. 그래서 잘 얘기를 안 했던 것 같아요.	2	328.17	342.587	client	1
43	우진님의 가치관은 어떤 부분이 좀 나한테 두드러진 가치관이 있다면 어떠한 부분이 있을까요?	1	343.717	350.83	counselor	1
44	아 그니까 부모님이 가장 압박을 주시는 것 중 하나가 제 삶에 좀 지분이 있다고 생각하시는 것 같아요.	1	351.555	361.7	client	1
45	아, 부모님께서. 우진님 삶에 부모님의 지분이 있다.	0	361.801	367.43	counselor	1
46	그래서 그걸 너 혼자 단독적으로 결정한다는 것 자체에 되게 좀 생각이 다르신 것 같아요.	2	381.57	388.337	client	1
47	음-	0	388.376	390.2	counselor	1
48	그러다 보니까 모든 것들이 솔직하지 못하게 되는 것 같아요. 가령 여자친구랑 지금 7년 정도 됐는데 여자친구 있다고 말씀도 안 드렸거든요. 지금까지 한 번도.	2	389.685	400.35	client	1
49	아, 7년 동안.	0	401.0	402.555	counselor	1
50	네. 그래서 지금까지 그냥 연애도 안 하시는 줄 알고.	4	402.0	406.131	client	1
51	아-!	0	407.0	408.295	counselor	1
52	네. 그런 부분들이 좀 있죠.	0	408.011	411.32	client	1
53	오, 그러셨구나. 부모님한테 여자친구가 있다고 말씀을 안 한 마음이 어떤 마음이실까요?	1	411.91	422.145	counselor	1
54	어 일단 어떤 사람인지 궁금해 하실 것 같은데 그게 되게 불편하더라고요. 뭔가 또 어른의 시선으로 팡 평가 같이 할 것 같고.	1	422.515	437.517	client	1
55	아 음	0	436.251	438.478	counselor	1
56	뭐 사실 여자친구가 부모님 이혼하셨는데 그런 것도 들으면 괜히 안 좋아하실 것 같고. 그니까 뭐 그런 식으로 그니까 제 지레짐작인 것 같기도 한데.	2	439.096	452.0	client	1
57	네.	0	451.903	452.745	counselor	1
58	뭔가 이렇게 소개시켜 드렸을 때 자꾸 그런 쪽으로 생각하시게 될까 봐 그냥 얘기 자체를 안 꺼내게 되는 것 같아요.	1	453.764	460.207	client	1
59	어 우진님은 부모님한테 의도하지는 않았지만 그 불편감으로 인해서 자연스럽게 감추게 되는 부분이 이제 점차 갈수록 많아지게 되어 있네요.	0	462.953	476.482	counselor	1
60	 네. 맞아요.	1	476.1	476.76	client	1
61	그렇게 많아지면서 더 이제 감정이 다운되시고 음 그럴 것 같아요.	1	477.885	484.855	counselor	1
62	네	0	481.887	482.245	client	1
63	굉장히 좀 힘들지 않았을까. 그동안 7년이라는 시간이 굉장히 긴 시간일 텐데 음 그동안에 불편감이 얼마나 컸으면 그 마음을 나우 나누지 않았을까 라는 생각이 좀 드네요.	1	485.11	499.959	counselor	1
64	네	0	499.416	500.018	client	1
65	부모님은 어떻게 부모님의 신념과 가치관으로 나한테 대입을 하실 때 어떤 지점이 가장 좀 불편하신가요?	0	510.9	519.932	counselor	1
66	음 그니까 아까 말씀드렸듯이 어떤 선택이 100% 나 혼자 결정할 수 없는 것들이 되게 많다라는 것.	1	520.912	530.62	client	1
67	음	0	530.573	531.11	counselor	1
68	그러니까 뭐 의견이 같아서 같은 선택을 할 수도 있겠으나. 어쨌든 그 사고 방식이라고 해야 될까요. 그 자체가 저는 좀 마음에 안 드는 것 같아요 네.	1	533.0	544.71	client	1
69	우진님 입장에서는. 네	1	545.161	547.263	counselor	1
70	네네	0	546.408	547.217	client	1
71	어 이제 어 내가 생각하고 있는 것을 먼저 말씀을 드리잖아요. 그렇게 드렸을 때 부모님은 어떻게 반응을 하시나요?	0	559.9	568.87	counselor	1
72	어	0	569.749	570.633	client	1
73	이제 자취를 하고 싶다 이렇게 표현을 하시면 부모님은 어떻게 반응을 하실까요?	0	570.705	575.922	counselor	1
74	어 그냥 쟤 또 저런다. 네 뭐 그러시거나. 니 마음대로 할 거면은 나가서 살아라. 네 좀 그런 반응이신 것 같아요.	4	576.641	594.304	client	1
75	음-	0	594.28	595.4	counselor	1
76	그러니까 그러니까 강조하셨던 포인트들이 어쨌든 그 선택에 본인들의 의결권이 있어야 된다 라고 하면서 어떤 논리적으로 이래이래 해서 안 되고, 이래이래 해서 시기상조인 것 같다. 그런 개념이라기보다는 그럼 우리는? 이렇게 되시는 것 같아요.	2	594.676	617.956	client	1
77	아-	0	618.083	619.336	counselor	1
78	그니까 뭐 단순 자취가 아니라 어떤 외국에 나가고 싶다 이런 것도 하고 싶으면 해라. 근데 뭐 외국에 나가서 살면 우리 둘은 그런 것처럼 의존하시는 것도 좀 있는 것 같고. 네 좀 그런 반응이셨던 것 같아요.	1	618.752	636.979	client	1
79	그런 반응을 하셨을 때 우리 우진님은 어떻게 다가오나요 그런 반응들이?	0	638.08	644.03	counselor	1
80	그러니까 좀 그런 친구들이 그런 것 같아요. 뭔가 경제적으로 좀 유복하지는 않아도 자기가 이거 하고 싶으면 하고 저거 하고 싶으면 하고.	1	648.0	657.2	client	1
81	음	0	657.1	657.83	counselor	1
82	그런 어떤 선택의 자유를 굉장히 많이 갖고 있는 애들. 좀 그런 것들이 되게 오래된 것 같아요.	2	658.065	667.455	client	1
83	네-	0	661.392	662.345	counselor	1
84	부모님이 되게 다양한 주제에서 뭐 고등학교 때 연애할 때 하지 말아라. 뭐 할 때 하지 말아라. 그런 것들이 되게 많았던 것 같아요.	1	667.5	681.885	client	1
85	에 조금 무조건적으로 좀 수용해주고 어 긍정적으로 이게 제시를 해주신다거나 이렇게 그런 경험은 별로 없으신 것 같으네요.	0	691.51	701.259	counselor	1
86	그리고 뭐 어떤 공부나 커리어 이런 것 같은 경우는 사실 제가 그렇게 어긋날 만한 선택들을 안 했어 가지고 크게 말을 안 했던 거지.	0	707.156	715.867	client	1
87	아-	0	715.788	717.1	counselor	1
88	네. 그런 것들도 어긋났다면 아마 얘기하시지 않았을까 싶기는 해요.	0	716.607	720.253	client	1
89	그러셨구나. 내가 어긋나지 않아서일 뿐이지 거의 내 삶의 어떤 선택 음 다양한 분야에서 거의 모든 부분에서 어떤 지분을 이제 강조하셨을 거라고 이렇게 느껴지시네요.	0	722.905	736.76	counselor	1
90	그래서 뭐랄까. 그 단순히 부모님뿐만 아니라 조금 삶 자체가 어쨌든 회사에서 뭐 일을 잘하면 본인한테 좋다고 하는데 살짝 세뇌 같거든요. 그냥 회사한테 만족감을 주는 사람이 좋은 사람인 거고.	1	740.698	765.545	client	1
91	음	0	755.91	756.69	counselor	1
92	뭔가 정작 제 많은 부분이 남을 만족시켜 주기 위해서 존재하지 나를 만족시켜 주기 위해서 존재하는 것 같지 않다는 생각을 되게 많이 한 것 같아요.	2	779.5	790.5	client	1
93	음-	0	790.591	791.367	counselor	1
94	그러면서 조금 극단적으로는 만약에 부모님이 돌아가시고 여자친구랑 헤어지고 직장에서 나왔을 때의 내가 비로소 진정한 나인가? 뭐 이런 생각도 좀 하고요.	2	791.655	806.799	client	1
95	음-	0	806.83	807.832	counselor	1
96	네 좀 그렇게 된 것 같아요.	0	807.813	809.636	client	1
97	내가 어떻게 느껴지시나요 지금?	0	811.995	815.58	counselor	1
98	지금은 그냥 말씀드린 대로 만족시켜 주다가 죽을 것 같은. 그리고 이제 뭐 결혼하고 나서 또 자식을 만족시켜 주기 위해서 살겠죠.	1	816.255	827.5	client	1
99	음	0	827.5	828.365	counselor	1
100	늘 그렇게 살아야 되나 지금. 앞으로 남은 생활? 뭔가 그런 생각이 드는 것 같아요.	1	829.151	834.054	client	1
101	아 그러셨구나.	0	834.0	835.398	counselor	1
102	네	0	835.209	835.63	client	1
103	어 타인을 만족시켜 주는 나는 그런 사람.	1	836.051	839.43	counselor	1
104	네	0	839.516	839.715	client	1
105	나를 만족시켜 주는 삶을 살지 않았기 때문에 어 어 이렇게 생각을 하기까지 우진님의 마음이 얼마나 많은 고통과 어 어려움이 있었을까.	1	840.915	860.262	counselor	1
106	네	0	843.81	844.216	client	1
107	굉장히 힘드셨겠어요.	0	864.85	866.48	counselor	1
108	아닙니다.	0	866.05	867.41	client	1
109	네 그런 것들 속에서 그래도 우진님이 끊임없이 이게 나를 찾기 위해서 두드렸다고 느껴져요.	1	867.415	877.55	counselor	1
110	네	0	877.602	877.988	client	1
111	 어 그렇게 저는 좀 느껴지는데 어떠신가요?	0	894.64	897.273	counselor	1
112	근데 그 딱히 행동으로 취하지는 못했던 것 같아요.	3	898.113	904.33	client	1
113	계속 마음속에서는 계속 나를 좀 두드리고 계시는 부분이 음 아 그 부분이 저는 좀 굉장히 긍정적으로 느껴지는 부즌 부분이에요	1	905.12	916.635	counselor	1
114	네	0	916.338	916.721	client	1
115	그런데 그것을 좀 많이 분리를 그래도 하신 지점들이 있으신 것 같아요	1	945.98	951.3	counselor	1
116	네	0	951.03	951.43	client	1
117	자 그래서 내가 나를 찾기 위해서는 나만의 방 행복 나를 위한 삶을 살기 위해서 어떻게 하는 게 좋을까요?	0	963.31	974.904	counselor	1
118	음 글쎄요 뭔가 뭔가 이런이런 게 개선되면 될 것 같다라고 딱 꼬집기에는 어려운 것 같아요.	2	976.358	987.92	client	1
119	음-	0	987.8	989.0	counselor	1
120	그니까 그렇게 하다 보니까 어떤 동시에 또 주변인을 만족시켜주면서 행복을 얻기도 하잖아요.	3	990.5	997.3	client	1
121	 그렇죠	0	997.52	998.4	counselor	1
122	그래서 늘 그런 식으로 선택을 해오다 보니까 잘 모르는 것 같아요. 어떻게 해야 내가 만족하는가.	1	999.355	1006.8	client	1
123	음	0	1006.38	1007.19	counselor	1
124	그래서 어떻게 해줬으면 좋겠는데라고 다 동시에 바뀐다고 해도 어떻게 해줬으면 좋겠어라고 딱 명확하게 말하기가 어려운 것 같아요 네	1	1008.084	1017.259	client	1
125	그럴 수 있어요 음	1	1019.388	1021.46	counselor	1
126	네	0	1020.382	1020.943	client	1
127	내가 어떤 사람으로 살고 싶으신 나의 원트가 있을까요?	0	1022.898	1027.375	counselor	1
128	음 이게 또 좀 모순적이긴 한데 그래도 되게 자유롭게 하고 싶은 것들 하면서 살되 그래도 누군가 주변에서 힘들거나 조금 공경에 처하면 도와줄 수 있는 사람 정도를 원하는 것 같아요 좀	1	1027.651	1048.195	client	1
129	음-	0	1045.07	1046.29	counselor	1
130	그래서 원하는 것도 좀 남을 만족시켜 주는 게 포함되어 있는 것 같기는 한데 그런 쪽에서 좀 예 그렇습니다.	2	1048.629	1057.121	client	1
131	힘든 타인을 좀 돌볼 수 있는 마음으로 가시고 이 계시기 때문에 타인을 위한 만족감만 있지는 않은 걸로 느껴져요 음	1	1069.675	1079.33	counselor	1
132	그래서 뭐 옷도 좀 사고 맛있는 것도 먹고 하면서 좀 어쨌든 소비활동을 하다 보니까 어 부모님이나 여자친구도 또 충분히 너를 위해서 쓰고 있다 이런 식의 반응이신 것 같기는 해요.	1	1079.485	1094.5	client	1
133	부모님께서?	0	1095.4	1096.55	counselor	1
134	예 또 그렇고 여자친구도 그렇고. 뭔가 이런 얘기를 간접적으로 한 번 한 적이 있긴 하거든요 여자친구한테.	2	1096.748	1102.922	client	1
135	네	0	1101.9	1102.86	counselor	1
136	뭔가 나를 만족시켜 주기 위해서 뭐 딱히 나를 만족시켜 주는 사람도 없고 나도 나를 만족시켜 주기 위한 행동을 별로 안 하는 것 같다 라고 했는데	1	1103.5	1112.252	client	1
137	음	0	1108.69	1109.225	counselor	1
138	 너 충분히 너 하고 싶은 거 돈 쓴다고. 막 그러고 얘기하면 할 말이 없긴 하죠.	2	1112.6	1119.43	client	1
139	음-	0	1119.455	1120.363	counselor	1
140	네.	0	1120.959	1121.415	client	1
141	이 우진님이 가장 나를 위한 그 부분은 어떤 부분에서 내가 나를 위한 삶이 아니라고 느껴지시는지 부분이 있잖아요	0	1132.0	1143.63	counselor	1
142	어 그러니까 주변 사람들이랑요?	0	1143.757	1148.39	client	1
143	그런데 내가 나를 위한 삶을 살지 않았다라고 어 생각하는 어떤 음 부분들 어 그 부분은 내가...	0	1155.59	1167.46	counselor	1
144	어 그 일상적인 데서가 더 큰 것 같은데. 저는 좀 누가 서운해한다? 혹은 삐진다? 하면은 그걸 지켜보는 게 되게 미안하기도 하고 짜증 나거든요.	1	1166.948	1184.6	client	1
145	음-	0	1184.53	1185.505	counselor	1
146	짜증 난다기보다 또 그게 아 또 뭔가 아 서운함을 풀어줘야 하는 주체가 나라는 게 좀 답답한 거죠.	1	1185.16	1192.776	client	1
147	음	0	1192.855	1193.412	counselor	1
148	그래서 뭐 피곤해도 여자친구가 보자고 하면은 보고 부모님이 뭐 뭐 했으면 좋겠다 그러면 그렇게 하고. 그러니까 막 어쨌든 그 막 그래서 부모님이 같이 저녁 먹은 게 좀 시간이 됐다. 라고 하면은 사실 그러실 수 있잖아요.	1	1193.847	1212.925	client	1
149	음	0	1210.18	1210.637	counselor	1
150	같이 식사하고 싶을 수 있는데 그 서운함을 나한테 표출한 게 되게 확 부담 혹은 좀 부정적으로 다가오는 것 같고.	1	1213.454	1222.24	client	1
151	음	0	1222.373	1223.111	counselor	1
152	또 그 서운함을 풀어줘야 된다는 뭔가 귀찮음과 압박감이 있는 것 같아요.	1	1223.19	1230.55	client	1
153	어떤 주변에 친한 친밀한 관계에 있는 대상들의 어떤 감정을 내가 그걸 받아주고	1	1231.705	1238.9	counselor	1
154	네	0	1236.99	1237.412	client	1
155	또 그걸 내가 또 좀 표현하면서 다독거려 다독여줘야 되는 그 감정에 대한 부분들에 대한 어 힘듦이신가요?	1	1239.325	1249.12	counselor	1
156	네 그런 것 같아요.	2	1249.0	1250.33	client	1
157	약간 여자친구나 부모님이 서운하다 좀 삐졌다 그랬을 때 굉장히 좀 어 순간 느껴지는 생각은 어떤 생각이 드시나요?	0	1251.36	1262.0	counselor	1
158	음 억울하다가 좀 큰 것 같아요. 예를 들어서 그 정도 서운함은 나도 느끼고 나는 별말 안 하는데.	1	1263.0	1272.5	client	1
159	음	0	1272.65	1273.13	counselor	1
160	저는 애초에 그렇게 막 평소에 그런 걸 잘 안 하거든요. 이런 이런 것 때문에 짜증을 낸다든가 되게 기분 나쁜 티를 막 그렇지 않아가지고 잘.	1	1273.693	1286.328	client	1
161	음	0	1286.373	1286.838	counselor	1
162	누군가가 기분 나쁜 티를 냈을 때는 되게 뭔가 나는 이렇게 했는데 넌 왜 이렇게 안 해? 처럼 좀 공격적으로 다가오는 것 같아요. 저 스스로한테.	1	1286.98	1297.338	client	1
163	나는 그러지 않는데 왜 그 타인은 나한테 이렇게 해야 해? 왜 나한테 요구해? 나는 요구하지 않는데?	1	1313.585	1322.7	counselor	1
164	네	0	1322.309	1322.64	client	1
165	네 이 생각이 들어가요 그러면서 억울함이 있어요	3	1322.86	1325.81	counselor	1
166	네	0	1325.639	1325.876	client	1
167	타인들이 계속 나한테 기대하는 게 있고 감정이라든가 표현을 하시는데 어 정작 어 우진님은 나의 것을 표현을 안 하세요?	0	1326.8	1339.44	counselor	1
168	음 그니까 하기는 하는데 저는 감정을 좀 배제하고 되게 좋게 얘기하려는 편인 것 같고 그러다 보니까 누군가가 감정을 드러내면서 그렇게 얘기하면은 되게 공격적으로 다가오는 것 같아요.	2	1341.463	1362.0	client	1
169	네	0	1361.655	1362.06	counselor	1
170	뭔가 감정 푸는 상대가 아닌데 왜 나한테 감정을 풀지? 처럼 되게 공격적으로 다가오는 것 같아요.	1	1364.276	1371.925	client	1
171	그 지점이 좀 있으신 것 같아요 그래서 나는 감정을 배제하는i 하고 굉장히 이성적으로 대처를 하는데 타인은 나한테 감정적으로 한다라는.	0	1373.62	1383.98	counselor	1
172	네	0	1375.253	1375.64	client	1
173	우리 우진님의 감정을 좀 배제하는 마음은 어떤 마음이신가요?	0	1389.305	1394.1	counselor	1
174	어쨌든 그 음 뭔가 싸움이나 마찰 그런 게 그냥 겪고 싶지 않아서 그것도 어찌 보면 회피했던 방법 중 하난 것 같아요.	2	1395.199	1407.06	client	1
175	음	0	1404.31	1404.845	counselor	1
176	그니까 거기서 드러내면은 충돌이 되니까. 회피하려면은 결국 내가 감정을 드러내면 안 된다처럼 도망가는 것 같아요.	2	1408.153	1418.574	client	1
177	감정을 드러내서 갈등이 일어난 상황들이 좀 있으신가요?	0	1418.84	1422.415	counselor	1
178	아니요. 즛 감정을 잘 안 드러내서 그랬던 적이 많지는 않은 것 같아요. 대신에 이제 그렇게 계속 참다가 한 번 이제 화가 그 선을 넘으면 조금 너무 과하게 화를 내는 것 같기는 해요 제가.	1	1425.059	1442.015	client	1
179	음	0	1431.9	1432.6	counselor	1
180	그래서 뭔가 누군가가 보기에는 욱한다라고 생각할 수 있는데, 저는 욱한다라고 느끼지 않고 참은 게 폭발한다? 에 좀 너무 제 입장일 수는 있는데.	1	1443.3	1457.075	client	1
181	그렇죠 내가 참은 부분이 어 나는 음 그니까 친밀한 대상들에게 다 받아주면서 나는 참았고 표현하지 않았다	0	1458.255	1471.825	counselor	1
182	에 그렇게 폭발하는 것 같아요.	0	1458.9	1460.811	client	1
183	그래서 나는 굉장히 많이 참았는데 그 이제 그 선이 넘어가면 이제 당연히 좀 표현을 하되 조금 공격적으로 표현이 되시니까 응	0	1472.3	1483.0	counselor	1
184	네	0	1482.108	1482.559	client	1
185	 그런 감정을 좀 이렇게 자연스럽게 표현을 해보신 경험은 있으신가요?	0	1519.925	1525.2	counselor	1
186	음 모르겠어요. 싸울 때 에 그 잘 없는 것 같아요. 그니까 늘 좀 쌓였다가 폭발하는 식으로만 표출이 됐지, 뭐 작게 작게는 많지는 않은 것 같아요.	1	1526.037	1545.935	client	1
187	아 네 그런 부분도 작게 작게 많이 하지 않는 감정 표현도 내가 표현을 하면 갈등이 일어난다라는 생각 때문에 안 하게 되시는 건가요?	0	1547.24	1557.298	counselor	1
188	네 조금. 그리고 뭔가 그거를 한다는 것 자체가 좀 미숙하다고 스스로 느껴지는 것 같기도 해요.	1	1557.331	1568.507	client	1
189	그러면은 감정을 폭발을 한다거나 감정을 표현하는 모습이 굉장히 부정적으로 좀 느끼신 경험이 있으세요?	0	1570.315	1578.175	counselor	1
190	그 어떤 말이죠?	0	1579.404	1580.308	client	1
191	어 어떤 나한테 친밀한 대상이 감정을 표현하는데 내 나한테 감정을 표현하는 데 있어서 그게 내가 굉장히 부정적으로 느끼신 경험이 있으세요?	0	1581.34	1591.01	counselor	1
192	어 되게 많이 그러는 것 같아요.	0	1591.531	1596.045	client	1
193	주로 내가 많이 느꼈던 부정적으로 느꼈던 대상이 어느 분이실까요?	0	1596.3	1601.375	counselor	1
194	어 그러니까 주로 부모님이랑은 그런 기본적인 가치관 자체가 충돌해서 대화가 단절된 케이스라면 여자친구랑 그게 좀 있는 것 같아요.	2	1602.0	1615.751	client	1
195	음-	0	1615.7	1616.475	counselor	1
196	그니까 뭐	2	1630.404	1630.906	client	1
197	조금 자세하게 이야기를 좀 해주시면 좋을 것 같아요	0	1632.6	1635.096	counselor	1
198	네네 그 뭔가 딱히 사례로 말하라 그러면 좀 어려운데 그니까 뭐 예를 들어서 이제 피곤해서 뭐 집 가고 싶은데 저는.	1	1633.503	1644.192	client	1
199	음	0	1644.2	1644.76	counselor	1
200	간다 그러면은 왜 벌써 가냐고 확 삐지고 그런 모습을 보이는데 여자친구도 머리로는 알거든요. 피곤하면 당연히 갈 수도 있고 그 좀 배려할 수도 있는데.	1	1646.225	1658.492	client	1
201	음	0	1658.535	1659.105	counselor	1
202	어쨌든 여자친구는 감정을 본인이 좀 서운해도 그걸 참고 좀 이제 그러지 않고 서운하면 서운하다고 바로 표현을 하거든요.	1	1659.264	1668.9	client	1
203	음-	0	1669.0	1669.9	counselor	1
204	그런 것들이 좀 피로함으로 저한테 다가왔던 것 같아요 뭐	2	1670.0	1673.8	client	1
205	음-	0	1673.1	1674.1	counselor	1
206	다음에 보자라던가. 사실 주말에 뭐 다른 일들 하고 싶으면 다음에 볼 수도 있는 건데 본인이 좀 서운해도 어쩔 수 없지 라면서 좀 참는 게 있어야 된다고 저는 생각이 드는데	1	1675.696	1688.58	client	1
207	아-	0	1688.228	1689.05	counselor	1
208	 바로 그게 오니까 제 입장에서는 확 공격적으로 다가오는 것 같아요 네	0	1689.034	1694.84	client	1
209	그 지점에서 이제 여자친구분이 어 이제 조금 짜증 내지 않고 삐지지 않고	1	1695.145	1702.36	counselor	1
210	네	0	1702.151	1702.591	client	1
211	이렇게 만약에 이제 표현을 했다면 어떻게 다가오세요?	0	1716.16	1719.895	counselor	1
212	어 훨씬 고마울 것 같고 편할 것 같은데 또 이제 저도 유치한 게 그런 얘기를 들으면은	2	1720.383	1729.28	client	1
213	예-	0	1723.13	1723.995	counselor	1
214	 근데 지금 내가 피곤하고 이런 상황인 건데 그렇게 꼭 그거를 이기기 위해서 그렇게 감정을 얘기해야 되냐라고 생각할 것 같기는 해요.	1	1730.706	1743.49	client	1
215	이기기 위해서?	0	1744.755	1745.563	counselor	1
216	네. 그니까 그니까 어쨌든 제 말을 안 그니까 그 또 본인 입장을 얘기한다는 거. 어쨌든 내 입장을 얘기했고 좀 서운해도 참는 게 아니라 이게 서운하다고 또 본인 입장을 얘기한다고 다가올 것 같기는 해요 저는.	2	1745.839	1763.96	client	1
217	그런데 피곤하니까 가야지. 그런데 나는 좀 속상하기는 해. 그렇게 표현을 하면 조금 덜 미성숙하게 느껴지시나요?	0	1830.0	1837.61	counselor	1
218	네.	0	1837.5	1838.1	client	1
219	어 그럼 그때 이제 우진님은 어떻게 표현을 하실까요?	0	1847.826	1852.1	counselor	1
220	만약에 그렇게 얘기한다면요?	0	1853.352	1854.85	client	1
221	예 제가 얘기했던 것처럼 여자친구가 이렇게 표현을 한다면 우진님은 어떻게 표현을 하실 것 같으세요?	0	1854.255	1860.358	counselor	1
222	음 근데 그 얘기를 지금 꼭 해야 되는가 라고 얘기할 것 같아요.	0	1860.398	1868.011	client	1
223	그런데 그 얘기를 꼭 지금 해야 되니?	0	1869.96	1872.295	counselor	1
224	네. 그렇게 얘기하지 않을까요?	0	1872.717	1874.65	client	1
225	좀 참지 왜 너는 못참니? 나는 참는데.	1	1875.665	1882.203	counselor	1
226	네. 좀 그게 있는 것 같아요.	0	1882.207	1883.83	client	1
227	여자친구의 마음은 생각이나 감정은 여자친구 거예요. 그 타당한 거거든요?	1	1912.508	1920.78	counselor	1
228	네	0	1920.702	1921.05	client	1
